"Organism","Search Weight","Organellar genome(s)","VEuPathDB Project","Chromosomes","Supercontigs","Contigs","Genome Source","Genome Version/Assembly ID","Mega base Pairs","Structural Annotation Source","Structural Annotation Version","Is Reference Strain","NCBI taxon ID","Species","Strain","ChIP chip","EC#","ESTs","Genes","GO terms","Microarray","Non Protein coding genes","Orthologs","Popset Sequences","Protein coding genes","Proteomics","Pseudogenes","RNA Seq","RT-PCR","SNPs","TFBS","User comments"
"Coccidioides immitis WA_211","10","no","FungiDB","0","62","0","INSDC","GCA_004115165.2","   27.47","GenBank","2019-07-01","no","N/A","Coccidioides immitis","WA_211","N/A","882","5992","7936","5516","N/A","121","7815","6965","7815","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Cryptococcus neoformans var. grubii KN99","10","no","FungiDB","14","0","0","GenBank","GCA_002216725.1","   18.91","GenBank","Nov 8, 2018","no","N/A","Cryptococcus neoformans","var. grubii KN99","N/A","575","5382","6967","4159","N/A","0","6967","79","6967","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Candida pseudohaemulonii strain B12108","10","no","FungiDB","0","36","0","INSDC","GCA_003013735.1","   12.59","GenBank","Mar 03, 2018","yes","N/A","[Candida] pseudohaemulonis","B12108","N/A","843","N/A","5285","4005","N/A","151","5134","23601","5134","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Chrysosporium queenslandicum isolate CBS 280.77","10","no","FungiDB","0","0","2724","GenBank","GCA_001430955.1","   32.34","n/a","n/a","yes","N/A","Chrysosporium queenslandicum","isolate CBS 280.77","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","N/A","0","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Exophiala mesophila strain CBS 40295","10","no","FungiDB","0","9","0","GenBank","GCA_000836275.1","   29.27","GenBank","Jun 16, 2016","yes","N/A","Exophiala mesophila","strain CBS 40295","N/A","1194","N/A","9237","6643","N/A","56","9181","494","9181","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Exophiala oligosperma strain CBS 72588","10","no","FungiDB","0","143","0","GenBank","GCA_000835515.1","   38.22","GenBank","Jun 16, 2016","yes","N/A","Exophiala oligosperma","strain CBS 72588","N/A","1372","N/A","11938","8206","N/A","45","11893","578","11893","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Fusarium circinatum NRRL 25331","10","no","FungiDB","0","1223","0","INSDC","GCA_013396185.1","   42.62","GenBank","2020-07-10","yes","N/A","Fusarium circinatum","NRRL 25331","N/A","N/A","8","13905","7721","N/A","0","13905","113504","13905","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Fusarium graminearum DAOM 233423","10","no","FungiDB","0","869","0","INSDC","GCA_000966635.1","   36.49","N/A","N/A","no","N/A","Fusarium graminearum","DAOM 233423","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","N/A","0","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Fusarium odoratissimum strain race 4","10","no","FungiDB","0","840","0","GenBank","GCA_000350365.1","   52.93","GenBank","Mar 21, 2015","yes","N/A","Fusarium odoratissimum","strain race 4","N/A","1479","N/A","14596","8462","N/A","137","14459","66580","14459","N/A","137","14596","N/A","N/A","N/A","N/A"
"Fusarium proliferatum strain NRRL62905","10","no","FungiDB","0","0","155","GenBank","GCA_900029915.1","   43.17","GenBank","Dec 06, 2016","no","N/A","Fusarium proliferatum","strain NRRL62905","N/A","1039","N/A","15602","8779","N/A","348","15254","115911","15254","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Hanseniaspora guilliermondii strain UTAD222","10","no","FungiDB","0","208","0","INSDC","GCA_900119595.1","    9.04","GenBank","Feb 02, 2017","yes","N/A","Hanseniaspora guilliermondii","strain UTAD222","N/A","565","N/A","4152","3107","N/A","82","4070","2491","4070","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Hanseniaspora uvarum strain AWRI3580","10","no","FungiDB","0","18","0","INSDC","GCA_001747055.1","    8.81","GenBank","Sep 27, 2016","yes","N/A","Hanseniaspora uvarum","strain AWRI3580","N/A","653","N/A","4061","3027","N/A","0","4061","159","4061","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Hemileia vastatrix Race XXXIII","10","no","FungiDB","0","116756","0","INSDC","GCA_004125335.1","  543.61","N/A","N/A","yes","N/A","Hemileia vastatrix","Race XXXIII","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","N/A","0","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Lomentospora prolificans JHH-5317","10","no","FungiDB","0","0","1624","GenBank","GCA_002276285.1","   37.63","GenBank","Dec 19, 2017","yes","N/A","Lomentospora prolificans","JHH-5317","N/A","1266","N/A","8768","6373","N/A","208","8560","207","8560","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Pyricularia oryzae BR32","10","no","FungiDB","0","111","0","GenBank","GCA_900474545.2","   41.86","GEMO","Nov 02, 2011","no","N/A","Pyricularia oryzae","BR32","N/A","821","555","14781","6645","N/A","432","14349","4663","14349","N/A","0","14781","N/A","N/A","N/A","N/A"
"Malassezia restricta KCTC 27527","10","no","FungiDB","9","0","0","GenBank","GCA_003290485.1","    7.37","GenBank","Jul 09, 2018","yes","N/A","Malassezia restricta","KCTC 27527","N/A","448","N/A","4544","3013","N/A","138","4406","6256","4406","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Naganishia albida JCM2334","10","no","FungiDB","0","0","74","GenBank","GCA_001599735.1","   20.70","n/a","n/a","no","N/A","Naganishia albida","JCM2334","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","N/A","0","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Naganishia albida NRRL Y-1402","10","no","FungiDB","0","0","834","GenBank","GCA_001444555.1","   24.81","GenBank","Jul 26, 2016","yes","N/A","Naganishia albida","NRRL Y-1402","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","N/A","0","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Peronospora effusa R13","10","no","FungiDB","0","784","0","INSDC","GCA_003843895.1","   32.16","GenBank","2018-11-27","yes","N/A","Peronospora effusa","R13","N/A","692","N/A","8603","5447","N/A","0","8603","566","8603","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Pichia kudriavzevii strain CBS5147","10","no","FungiDB","5","0","0","INSDC","GCA_003054405.1","   10.78","N/A","N/A","no","N/A","Pichia kudriavzevii","strain CBS5147","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","N/A","0","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Pichia kudriavzevii strain CBS573","10","no","FungiDB","5","0","0","INSDC","GCA_003054445.1","   10.86","GenBank","May 31, 2019","yes","N/A","Pichia kudriavzevii","strain CBS573","N/A","715","N/A","5367","4134","N/A","212","5155","8266","5155","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Phytophthora palmivora var. palmivora strain sbr112.9","10","no","FungiDB","0","0","24809","GenBank","GCA_002911725.1","  107.77","GenBank","Feb 02, 2018","yes","N/A","Phytophthora palmivora","var. palmivora strain sbr112.9","N/A","1616","N/A","28185","8972","N/A","3511","24674","54020","24674","N/A","35","N/A","N/A","N/A","N/A","N/A"
"Phytophthora plurivora AV1007","10","no","FungiDB","0","0","1897","GenBank","GCA_002247145.1","   40.44","GenBank","Aug 11, 2017","yes","N/A","Phytophthora plurivora","AV1007","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","N/A","0","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Phytophthora ramorum strain Pr102","10","no","FungiDB","0","2576","0","GenBank","GCA_000149735.1","   66.65","JGI","1.1","yes","N/A","Phytophthora ramorum","strain Pr102","N/A","1272","N/A","15743","8572","N/A","251","15492","81901","15492","N/A","251","15743","N/A","N/A","N/A","N/A"
"Puccinia sorghi strain RO10H11247","10","no","FungiDB","0","15715","0","INSDC","GCA_001263375.1","   99.53","GenBank","Aug 19, 2015","yes","N/A","Puccinia sorghi","strain RO10H11247","N/A","755","N/A","21769","7991","N/A","691","21078","23373","21078","N/A","157","N/A","N/A","N/A","N/A","N/A"
"Puccinia striiformis strain 93-210","10","no","FungiDB","0","492","0","INSDC","GCA_002920065.1","   84.63","GenBank","Feb 06, 2018","yes","N/A","Puccinia striiformis","strain 93-210","N/A","1060","783","15090","6077","N/A","0","15090","23167","15090","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Puccinia striiformis 93TX-2","10","no","FungiDB","0","561","0","INSDC","GCA_002920205.1","   77.37","GenBank","2018-02-06","no","N/A","Puccinia striiformis","93TX-2","N/A","731","763","14629","5665","N/A","0","14629","22896","14629","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Rhizophagus irregularis A1 (DAOM-664342)","10","no","FungiDB","0","0","11196","GenBank","GCA_001593125.1","  125.35","GenBank","Dec 11, 2017","no","N/A","Rhizophagus irregularis","A1 (DAOM-664342)","N/A","1358","3","26582","11482","N/A","106","26476","3450","26476","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Scedosporium apiospermum IHEM 14462","10","no","FungiDB","0","0","176","GenBank","GCA_000732125.1","   43.44","GenBank","Mar 30, 2018","yes","N/A","Scedosporium apiospermum","IHEM 14462","N/A","1489","N/A","10920","6276","N/A","2544","8376","2236","8376","N/A","0","N/A","N/A","N/A","N/A","2"
"Trichoderma atroviride strain JCM 9410","10","no","FungiDB","0","23","0","INSDC","GCA_001599035.1","   37.32","N/A","N/A","yes","N/A","Trichoderma atroviride","strain JCM 9410","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","N/A","0","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Trichoderma reesei QM6a 2017","10","no","FungiDB","7","0","0","INSDC","GCA_002006585.1","   34.92","N/A","N/A","no","N/A","Trichoderma reesei","QM6a 2017","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","N/A","0","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Verruconis gallopava strain CBS 43764","10","no","FungiDB","0","367","0","INSDC","GCA_000836295.1","   31.78","GenBank","Jun 16, 2016","yes","N/A","Verruconis gallopava","strain CBS 43764","N/A","925","N/A","9871","6714","N/A","53","9818","98","9818","N/A","5","N/A","N/A","N/A","N/A","N/A"
"Yarrowia lipolytica CLIB89 (W29)","10","no","FungiDB","6","0","0","GenBank","GCA_001761485.1","   20.55","GenBank","Oct 25, 2016","no","N/A","Yarrowia lipolytica","CLIB89 (W29)","N/A","991","4188","8746","5016","N/A","797","7949","4147","7949","N/A","1","N/A","N/A","N/A","N/A","N/A"
